iter	RMSE
281	4.414514346
282	4.412569374
283	4.406715789
284	4.405325063
285	4.402755509
286	4.396764708
287	4.393409906
288	4.390855511
289	4.387753097
290	4.382706418
291	4.380232464
292	4.374103503
293	4.369577203
294	4.365929234
295	4.360134321
296	4.35756918
297	4.35602093
298	4.35306643
299	4.349394262
300	4.347550316
301	4.345147827
302	4.34320982
303	4.340481404
304	4.337486825
305	4.336301606
306	4.334130298
307	4.331284618
308	4.326586025
309	4.321037487
310	4.319181542
311	4.315787244
312	4.311445623
313	4.309315134
314	4.303697171
315	4.298971449
316	4.294994266
317	4.29261838
318	4.291198567
319	4.285990291
320	4.281936259
321	4.276959258
322	4.27535951
323	4.270371907
324	4.26772792
325	4.265482922
326	4.263691095
327	4.263495854
328	4.259240818
329	4.255791484
330	4.254515127
331	4.253282895
332	4.250825103
333	4.247633914
334	4.240976549
335	4.239100748
336	4.236993074
337	4.235198371
338	4.233807142
339	4.230173507
340	4.227707427
341	4.221798004
342	4.217328685
343	4.21375338
344	4.212521423
345	4.210016637
346	4.206973419
347	4.203047408
348	4.198219561
349	4.194555703
350	4.192454173
351	4.19117549
352	4.188789038
353	4.185563149
354	4.181149985
355	4.178485119
356	4.17508182
357	4.171709207
358	4.166843789
359	4.162595876
360	4.160500752
361	4.159262244
362	4.158364728
363	4.153257847
364	4.150828791
365	4.147669541
366	4.144291125
367	4.141005186
368	4.137590851
369	4.133346172
370	4.130784606
371	4.127037954
372	4.124369957
373	4.122134315
374	4.119144666
375	4.116441763
376	4.111500979
377	4.108810315
378	4.107984096
379	4.106751305
380	4.104076995
381	4.099639784
382	4.096081376
383	4.093839923
384	4.091540118
385	4.090008321
386	4.08703503
387	4.083083525
388	4.078904774
389	4.073816716
390	4.069907835
391	4.066784517
392	4.062935927
393	4.05900247
394	4.056854829
395	4.053767178
396	4.052096773
397	4.048728596
398	4.043474619
399	4.042244369
400	4.040095849
401	4.03975464
402	4.036132401
403	4.032831915
404	4.031817766
405	4.029112791
406	4.024621603
407	4.022782977
408	4.018786584
409	4.017841489
410	4.015091411
411	4.010155818
412	4.008999079
413	4.006830523
414	4.001908654
415	3.997501767
416	3.994807615
417	3.992369394
418	3.991305307
419	3.986918206
420	3.980637443
421	3.979358191
422	3.977011127
423	3.975750918
424	3.97211611
425	3.967988574
426	3.963932396
427	3.959556723
428	3.956661974
429	3.952715233
430	3.951013181
431	3.946541878
432	3.944530781
433	3.942254067
434	3.937894056
435	3.935469545
436	3.934892711
437	3.932264262
438	3.93076511
439	3.927430018
440	3.923818635
441	3.920299677
442	3.915236122
443	3.912260163
444	3.910512212
445	3.908511952
446	3.906839698
447	3.904945136
448	3.90323212
449	3.899944234
450	3.898485816
451	3.894132595
452	3.892371678
453	3.888017461
454	3.885270598
455	3.883101461
456	3.878536644
457	3.876964192
458	3.875665541
459	3.872132178
460	3.868308993
461	3.865590677
462	3.862784466
463	3.86098084
464	3.858200688
465	3.854451849
466	3.852921246
467	3.850547423
468	3.848108944
469	3.845468052
470	3.841842119
471	3.838929866
472	3.837341442
473	3.836205764
474	3.83435884
475	3.832229294
476	3.831271741
477	3.829216889
478	3.827607557
479	3.824762484
480	3.822867218
481	3.822422349
482	3.819793634
483	3.817941161
484	3.815650007
485	3.813889223
486	3.809241033
487	3.807458718
488	3.804746673
489	3.803570339
490	3.801804463
491	3.800584034
492	3.79738702
493	3.793298212
494	3.791857689
495	3.790214507
496	3.787936887
497	3.785211558
498	3.783203469
499	3.776850262
500	3.774936421
501	3.774217251
502	3.772826651
503	3.771439029
504	3.767595483
505	3.764811407
506	3.763804994
507	3.763054546
508	3.760395
509	3.755312441
510	3.751989785
511	3.751311785
512	3.746356179
513	3.743481568
514	3.739566255
515	3.736253283
516	3.73145797
517	3.727745378
518	3.727483678
519	3.723517529
520	3.722209874
521	3.718565098
522	3.714941177
523	3.712669392
524	3.709817623
525	3.706681554
526	3.702594676
527	3.701703288
528	3.701532623
529	3.699315773
530	3.698910136
531	3.696501201
532	3.695358342
533	3.690512541
534	3.689144435
535	3.686765373
536	3.682850623
537	3.681165312
538	3.679966228
539	3.677534689
540	3.674791287
541	3.672129316
542	3.671517535
543	3.669581043
544	3.667797295
545	3.665323298
546	3.661064537
547	3.660272705
548	3.658861116
549	3.656646356
550	3.656398873
551	3.654746327
552	3.651204055
553	3.648605197
554	3.647216652
555	3.646948889
556	3.643969193
557	3.643531973
558	3.641831817
559	3.641078775
560	3.640469146
561	3.63840349
562	3.635696079
563	3.633582874
564	3.632789163
565	3.63060519
566	3.629610893
567	3.627351442
568	3.626914037
569	3.624818334
570	3.621242873
571	3.617893996
572	3.616653477
573	3.614522843
574	3.612379146
575	3.610158855
576	3.607497413
577	3.605957753
578	3.604639569
579	3.603351663
580	3.602494164
581	3.60132976
582	3.599256062
583	3.594971324
584	3.593568036
585	3.591411787
586	3.58750384
587	3.584553539
588	3.584439586
589	3.583669179
590	3.581609946
591	3.580642778
592	3.580367665
593	3.577168768
594	3.575729344
595	3.572408127
596	3.57001178
597	3.568015124
598	3.56734051
599	3.563773705
600	3.561513923
601	3.559532664
602	3.557348493
603	3.555443096
604	3.553538063
605	3.552759156
606	3.549583927
607	3.547674154
608	3.547165708
609	3.544216801
610	3.542604942
611	3.539803103
612	3.536765847
613	3.535577376
614	3.533401104
615	3.532410229
616	3.530949996
617	3.527439921
618	3.523976923
619	3.52169202
620	3.519617889
621	3.519464881
622	3.517447307
623	3.514562659
624	3.514169199
625	3.514066069
626	3.512331311
627	3.51201942
628	3.509320505
629	3.507446728
630	3.507177476
631	3.504043061
632	3.501575731
633	3.50048802
634	3.499430764
635	3.498857704
636	3.497797588
637	3.494731712
638	3.493189095
639	3.49214647
640	3.488222826
641	3.486063711
642	3.482106575
643	3.481150906
644	3.48062949
645	3.48030515
646	3.477863498
647	3.477745429
648	3.47555357
649	3.473984813
650	3.47389036
651	3.47046305
652	3.469979377
653	3.468506832
654	3.467908462
655	3.464543343
656	3.462633583
657	3.459776208
658	3.457609633
659	3.45615396
660	3.453161817
661	3.450310198
662	3.447274925
663	3.446839484
664	3.446704797
665	3.446254371
666	3.445403848
667	3.444447845
668	3.444218216
669	3.439900192
670	3.439114579
671	3.436199401
672	3.43295626
673	3.430543592
674	3.427836147
675	3.425586913
676	3.424378109
677	3.423872537
678	3.422885349
679	3.421069543
680	3.420556624
681	3.420131194
682	3.418970745
683	3.416557676
684	3.41647903
685	3.413970509
686	3.413478747
687	3.411012979
688	3.408894156
689	3.405059378
690	3.404657426
691	3.402349278
692	3.402221608
693	3.400187545
694	3.397111709
695	3.39704727
696	3.396074796
697	3.393967225
698	3.390509005
699	3.388422747
700	3.385569306
701	3.38530495
702	3.384369763
703	3.383461831
704	3.380518481
705	3.378639238
706	3.378519459
707	3.376136766
708	3.37395697
709	3.371063951
710	3.370191829
711	3.367608249
712	3.365454053
713	3.363558799
714	3.362722033
715	3.361129748
716	3.359268359
717	3.354965243
718	3.353900961
719	3.352960777
720	3.352591126
721	3.352302871
722	3.350663541
723	3.346307049
724	3.342750109
725	3.339248536
726	3.336924722
727	3.334349829
728	3.330092711
729	3.328376781
730	3.326138365
731	3.325390755
732	3.322820028
733	3.320827532
734	3.32051117
735	3.320449315
736	3.320195139
737	3.317904357
738	3.316910791
739	3.313594284
740	3.313148306
741	3.311540219
742	3.310842222
743	3.310718541
744	3.309629883
745	3.309049545
746	3.307576113
747	3.305812494
748	3.303266309
749	3.301710569
750	3.298855814
751	3.29541757
752	3.295231678
753	3.293449977
754	3.292450438
755	3.292374539
756	3.290264363
757	3.288744064
758	3.28707136
759	3.285396179
760	3.283146223
761	3.283083785
762	3.280696584
763	3.277105677
764	3.275441672
765	3.273540483
766	3.272917678
767	3.270948112
768	3.268431471
769	3.268181282
770	3.265161407
771	3.264549461
772	3.26422368
773	3.263026734
774	3.260243396
775	3.258477105
776	3.258286081
777	3.257626948
778	3.256171295
779	3.253637795
780	3.251166824
781	3.248715064
782	3.246586557
783	3.245335581
784	3.243221012
785	3.241585913
786	3.241482327
787	3.240788085
788	3.239564022
789	3.238231846
790	3.236262749
791	3.234185923
792	3.231872306
793	3.231785814
794	3.230503117
795	3.227660829
796	3.226706587
797	3.224455904
798	3.222145761
799	3.221541997
800	3.218627841
801	3.217053303
802	3.216891255
803	3.216475409
804	3.21500626
805	3.214946459
806	3.214603078
807	3.214167801
808	3.211738396
809	3.209156461
810	3.207548629
811	3.205405869
812	3.203774504
813	3.202154035
814	3.200586263
815	3.198332574
816	3.197650142
817	3.196399723
818	3.194284105
819	3.192711927
820	3.192074585
821	3.190210191
822	3.187172718
823	3.186961035
824	3.184930616
825	3.182949944
826	3.179853562
827	3.177286605
828	3.175259075
829	3.173575035
830	3.172139339
831	3.170140064
832	3.167891884
833	3.166147576
834	3.164109048
835	3.163158377
836	3.160191916
837	3.159824569
838	3.158814216
839	3.157766374
840	3.156132366
841	3.15537164
842	3.153689752
843	3.152010627
844	3.151049024
845	3.149405117
846	3.14806444
847	3.146432362
848	3.144609126
849	3.143204067
850	3.142780928
851	3.141108837
852	3.140861185
853	3.139798779
854	3.137851563
855	3.136478931
856	3.134760822
857	3.133932121
858	3.132667306
859	3.131163355
860	3.128944853
861	3.128865776
862	3.12696707
863	3.125723235
864	3.124569089
865	3.123446199
866	3.121633291
867	3.121138905
868	3.120337424
869	3.117771102
870	3.116398889
871	3.116334
872	3.113105123
873	3.11305729
874	3.109992433
875	3.108445292
876	3.107919639
877	3.105999039
878	3.105789066
879	3.104892855
880	3.103623315
881	3.102945034
882	3.099631454
883	3.098060796
884	3.096376685
885	3.095970959
886	3.095925749
887	3.094614886
888	3.092201247
889	3.092024383
890	3.091312388
891	3.090056573
892	3.08928259
893	3.084513175
894	3.082877176
895	3.082583895
896	3.081927843
897	3.081855501
898	3.078762662
899	3.078139488
900	3.076317066
901	3.074514835
902	3.073931576
903	3.072246916
904	3.069847011
905	3.068492472
906	3.067176764
907	3.066187195
908	3.065842329
909	3.065483445
910	3.065164867
911	3.06470791
912	3.063404385
913	3.062888355
914	3.061528485
915	3.060950719
916	3.060908696
917	3.058734212
918	3.057728855
919	3.056843848
920	3.055993141
921	3.055829214
922	3.053155472
923	3.05257782
924	3.052142726
925	3.050350904
926	3.04825192
927	3.048095137
928	3.046727216
929	3.0465632
930	3.042874281
931	3.04254393
932	3.04107428
933	3.041002198
934	3.040961497
935	3.04020113
936	3.040124202
937	3.039506074
938	3.037137922
939	3.035091611
940	3.031851525
941	3.029054475
942	3.028860805
943	3.028540023
944	3.026625242
945	3.026137889
946	3.025012568
947	3.023783048
948	3.022840363
949	3.021494795
950	3.019431226
951	3.018173245
952	3.017811711
953	3.016686101
954	3.015594993
955	3.014369634
956	3.011498727
957	3.010081593
958	3.007907386
959	3.006454015
960	3.0046378
961	3.003245282
962	3.002214536
963	3.002140498
964	2.999413956
965	2.997493591
966	2.996285622
967	2.995225819
968	2.99294768
969	2.992854949
970	2.992708127
971	2.990631183
972	2.988696177
973	2.985152768
974	2.98483531
975	2.981452905
976	2.9805913
977	2.979557588
978	2.979054451
979	2.978417458
980	2.977354665
981	2.975690447
982	2.974687779
983	2.97267148
984	2.971085417
985	2.970021009
986	2.968769361
987	2.96813005
988	2.966121438
989	2.964356457
990	2.964215592
991	2.962601936
992	2.96106321
993	2.960747589
994	2.959530498
995	2.959466565
996	2.957558331
997	2.9556703
998	2.954505521
999	2.95263618
